hygiene articles, whole milk, (126)
frankfurter, yogurt, (110)
white bread, whole milk, (168)
whole milk, butter milk, (114)
sausage, rolls/buns, (301)
sausage, bottled water, (118)
sausage, brown bread, (105)
sausage, whole milk, (294)
sausage, shopping bags, (154)
sausage, root vegetables, (147)
sausage, yogurt, (193)
citrus fruit, sausage, (111)
pastry, sausage, (123)
salty snack, whole milk, (110)
butter, rolls/buns, (132)
whole milk, butter, (271)
butter, root vegetables, (127)
yogurt, butter, (144)
domestic eggs, rolls/buns, (154)
frozen vegetables, rolls/buns, (100)
pork, rolls/buns, (111)
bottled water, rolls/buns, (238)
beef, rolls/buns, (134)
brown bread, rolls/buns, (124)
canned beer, rolls/buns, (111)
margarine, rolls/buns, (145)
whole milk, rolls/buns, (557)
shopping bags, rolls/buns, (192)
root vegetables, rolls/buns, (239)
coffee, rolls/buns, (108)
chocolate, rolls/buns, (116)
napkins, rolls/buns, (115)
yogurt, rolls/buns, (338)
citrus fruit, rolls/buns, (165)
newspapers, rolls/buns, (194)
bottled beer, rolls/buns, (134)
pastry, rolls/buns, (206)
whole milk, dessert, (135)
whole milk, domestic eggs, (295)
root vegetables, domestic eggs, (141)
yogurt, domestic eggs, (141)
citrus fruit, domestic eggs, (102)
frozen vegetables, whole milk, (201)
frozen vegetables, root vegetables, (114)
frozen vegetables, yogurt, (122)
pork, whole milk, (218)
pork, root vegetables, (134)
margarine, bottled water, (101)
whole milk, bottled water, (338)
shopping bags, bottled water, (108)
root vegetables, bottled water, (154)
yogurt, bottled water, (226)
citrus fruit, bottled water, (133)
newspapers, bottled water, (111)
bottled beer, bottled water, (155)
beef, whole milk, (209)
beef, root vegetables, (171)
beef, yogurt, (115)
berries, whole milk, (116)
berries, yogurt, (104)
whole milk, brown bread, (248)
brown bread, root vegetables, (100)
yogurt, brown bread, (143)
oil, whole milk, (111)
shopping bags, canned beer, (112)
onions, whole milk, (119)
whole milk, margarine, (238)
margarine, root vegetables, (109)
yogurt, margarine, (140)
waffles, whole milk, (125)
whole milk, curd, (257)
whole milk, shopping bags, (241)
whole milk, chicken, (173)
whole milk, root vegetables, (481)
whole milk, coffee, (184)
chocolate, whole milk, (164)
napkins, whole milk, (194)
yogurt, whole milk, (551)
hamburger meat, whole milk, (145)
citrus fruit, whole milk, (300)
newspapers, whole milk, (269)
whole milk, cream cheese, (162)
bottled beer, whole milk, (201)
sliced cheese, whole milk, (106)
pastry, whole milk, (327)
root vegetables, curd, (107)
yogurt, curd, (170)
shopping bags, root vegetables, (126)
yogurt, shopping bags, (150)
pastry, shopping bags, (117)
chicken, root vegetables, (107)
yogurt, root vegetables, (254)
citrus fruit, root vegetables, (174)
newspapers, root vegetables, (113)
pastry, root vegetables, (108)
napkins, yogurt, (121)
citrus fruit, yogurt, (213)
newspapers, yogurt, (151)
yogurt, cream cheese, (122)
pastry, yogurt, (174)
other vegetables, whole milk, tropical fruit, (168)
other vegetables, root vegetables, tropical fruit, (121)
other vegetables, yogurt, tropical fruit, (121)
whole milk, tropical fruit, rolls/buns, (108)
root vegetables, whole milk, tropical fruit, (118)
yogurt, whole milk, tropical fruit, (149)
whole milk, root vegetables, tropical fruit, (118)
whole milk, yogurt, tropical fruit, (149)
fruit/vegetable juice, other vegetables, whole milk, (103)
other vegetables, whipped/sour cream, whole milk, (144)
other vegetables, whipped/sour cream, yogurt, (100)
pip fruit, other vegetables, whole milk, (133)
soda, other vegetables, whole milk, (137)
other vegetables, sausage, whole milk, (100)
whole milk, other vegetables, butter, (113)
other vegetables, whole milk, rolls/buns, (176)
other vegetables, root vegetables, rolls/buns, (120)
other vegetables, yogurt, rolls/buns, (113)
other vegetables, whole milk, domestic eggs, (121)
pork, other vegetables, whole milk, (100)
other vegetables, whole milk, bottled water, (106)
other vegetables, whole milk, root vegetables, (228)
other vegetables, yogurt, whole milk, (219)
other vegetables, citrus fruit, whole milk, (128)
pastry, other vegetables, whole milk, (104)
other vegetables, butter, whole milk, (113)
other vegetables, yogurt, root vegetables, (127)
other vegetables, citrus fruit, root vegetables, (102)
whole milk, other vegetables, yogurt, (219)
yogurt, whipped/sour cream, whole milk, (107)
whole milk, whipped/sour cream, yogurt, (107)
soda, yogurt, whole milk, (103)
soda, whole milk, yogurt, (103)
whole milk, root vegetables, rolls/buns, (125)
yogurt, whole milk, rolls/buns, (153)
whole milk, yogurt, rolls/buns, (153)
yogurt, whole milk, root vegetables, (143)
whole milk, citrus fruit, yogurt, (101)
whole milk, yogurt, root vegetables, (143)
yogurt, citrus fruit, whole milk, (101)
